"","state","district","last_name","first_name","party","url","phone","state.y","state_code","district.y","total_hh","hh_qualify","enrollments","total_support","percent_eligible","HHEoE"
"1","AK","00","Peltola","Mary","Democrat","https://peltola.house.gov","202-225-5765","Alaska","02","0200",264376,100365,23498,22839860.875,37.9629769721911,23.4125442136203
"2","AS","00","Radewagen","Aumua Amata","Republican","https://radewagen.house.gov","202-225-8577",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","DC","98","Norton","Eleanor","Democrat","https://norton.house.gov","202-225-8050","District of Columbia","11","1198",315785,112066,63761,36075999.75,35.4880694143167,56.8959363232381
"4","DE","00","Blunt Rochester","Lisa","Democrat","https://bluntrochester.house.gov","202-225-4165","Delaware","10","1000",389000,150424,52346.9569830386,26095876.8125,38.6694087403599,34.7996044401416
"5","GU","00","Moylan","James (Jim)","Republican","https://moylan.house.gov/","202-225-1188",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","MP","00","Sablan","Gregorio","Democrat","https://sablan.house.gov","202-225-2646",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ND","00","Armstrong","Kelly","Republican","https://armstrong.house.gov","202-225-2611","North Dakota","38","3800",320038,111438,17732.323612227,8887602.938,34.8202400964885,15.9122773310962
"8","PR","98","González-Colón","Jenniffer","Republican","https://gonzalez-colon.house.gov","202-225-2615","Puerto Rico","72","7298",1219658,841877,656514,427142256,69.0256612919359,77.9821755434583
"9","SD","00","Johnson","Dusty","Republican","https://dustyjohnson.house.gov","202-225-2801","South Dakota","46","4600",351182,126167,24158.6339007963,15384552.9219,35.9263857487001,19.1481400848053
"10","VI","00","Plaskett","Stacey","Democrat","https://plaskett.house.gov","202-225-1790",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","VT","00","Balint","Becca","Democrat","https://balint.house.gov/","202-225-4115","Vermont","50","5000",265858,115003,25780,13088158.6565,43.257302770652,22.4168065180908
"12","WY","00","Hageman","Harriet","Republican","https://hageman.house.gov/","202-225-2311","Wyoming","56","5600",234156,83471,21711.9866599213,10984669.0005,35.6476024530655,26.0114131374025
"13","AL","01","Carl","Jerry","Republican","https://carl.house.gov","202-225-4931","Alabama","01","0101",276035,126806.15816643,48501.328963658,26817089.3125,45.9384346790914,38.2484018638915
"14","AR","01","Crawford","Eric","Republican","https://crawford.house.gov","202-225-4076","Arkansas","05","0501",290692,171411.866441881,59759.0909509692,33192267.1885,58.9668330885888,34.8628669598153
"15","AZ","01","Schweikert","David","Republican","https://schweikert.house.gov","202-225-2190","Arizona","04","0401",351789,116418.196192843,42676.5420472651,19564487.0002,33.0931883011813,36.6579653721596
"16","CA","01","LaMalfa","Doug","Republican","https://lamalfa.house.gov","202-225-3076","California","06","0601",283379,176988.594939883,60165.387743478,31438784.8755,62.4564964023032,33.9939348995421
"17","CO","01","DeGette","Diana","Democrat","https://degette.house.gov","202-225-4431","Colorado","08","0801",326048,128850.123389704,46405.7573335467,23858477.3125,39.5187590139195,36.0152991031242
"18","CT","01","Larson","John","Democrat","https://larson.house.gov","202-225-2265","Connecticut","09","0901",292362,121921.213508145,49764.5313263146,28002428.6875,41.7021410129034,40.8169586689606
"19","FL","01","Gaetz","Matt","Republican","https://gaetz.house.gov","202-225-4136","Florida","12","1201",300098,116991.501324422,56626.1466945029,28961416.876,38.9844321936241,48.4019318099666
"20","GA","01","Carter","Earl","Republican","https://buddycarter.house.gov","202-225-5831","Georgia","13","1301",289480,138953.003739454,50437.2632312954,28162393.001,48.000899454005,36.2980733585786
"21","HI","01","Case","Ed","Democrat","https://case.house.gov","202-225-2726","Hawaii","15","1501",249709,90869.7910546416,27190.1502834845,13569695.2815,36.3902747016093,29.9221005880101
"22","IA","01","Miller-Meeks","Mariannette","Republican","https://millermeeks.house.gov","202-225-6576","Iowa","19","1901",322221,130676.212454323,32557.7436846827,17805657.0315,40.5548404524607,24.9148204353282
"23","ID","01","Fulcher","Russ","Republican","https://fulcher.house.gov","202-225-6611","Idaho","16","1601",340673,134477.156903135,28714.0058888581,13864805.1878,39.4739697314242,21.3523296819408
"24","IL","01","Jackson","Jonathan","Democrat","https://jonathanjackson.house.gov/","202-225-4372","Illinois","17","1701",295506,150192.258826326,80764.6277628333,44583583,50.8254515395038,53.7741614607614
"25","IN","01","Mrvan","Frank","Democrat","https://mrvan.house.gov","202-225-2461","Indiana","18","1801",291940,120661.782309463,45373.8864757707,23728639.875,41.3310208636923,37.6041904962083
"26","KS","01","Mann","Tracey","Republican","https://mann.house.gov","202-225-2715","Kansas","20","2001",290320,125569.203348928,27909.5240156073,13755409.094,43.2519989490659,22.2264084435203
"27","KY","01","Comer","James","Republican","https://comer.house.gov","202-225-3115","Kentucky","21","2101",294051,154613.181615798,67470.7917703891,37034963.2505,52.5803964672107,43.6384472949072
"28","LA","01","Scalise","Steve","Republican","https://scalise.house.gov","202-225-3015","Louisiana","22","2201",301725,119402.20593983,72853.5867914116,35867009.125,39.5731894738024,61.0152770779832
"29","MA","01","Neal","Richard","Democrat","https://neal.house.gov","202-225-5601","Massachusetts","25","2501",315955,167599.389082852,72240.5990348369,42089456.938,53.0453352796608,43.1031398325235
"30","MD","01","Harris","Andy","Republican","https://harris.house.gov","202-225-5311","Maryland","24","2401",299027,102487.969205856,35081.1006396921,17828953.0627,34.273817817741,34.2294816762624
"31","ME","01","Pingree","Chellie","Democrat","https://pingree.house.gov","202-225-6116","Maine","23","2301",289515,93593.0608317772,36759.2339744513,18831440.1257,32.3275342665413,39.2755976220522
"32","MI","01","Bergman","Jack","Republican","https://bergman.house.gov","202-225-4735","Michigan","26","2601",330864,158410.496054486,66595.5975417108,36458334.3125,47.8778277644247,42.0398895277778
"33","MN","01","Finstad","Brad","Republican","","202-225-2472","Minnesota","27","2701",286310,113464.850378131,34855.844665324,18190149.2198,39.6300689386088,30.7195087722446
"34","MO","01","Bush","Cori","Democrat","https://bush.house.gov","202-225-2406","Missouri","29","2901",337820,162656.745935555,103234.761908064,55647377.125,48.1489390609068,63.4678637607598
"35","MS","01","Kelly","Trent","Republican","https://trentkelly.house.gov","202-225-4306","Mississippi","28","2801",280956,150412.37775108,47653.8362117257,26415498.126,53.5359194148122,31.6821241205221
"36","MT","01","Zinke","Ryan","Republican","https://zinke.house.gov","202-225-5628","Montana","30","3001",223381,96402.383704019,26137.0458674493,14122149.3127,43.1560355195916,27.1124477042985
"37","NC","01","Davis","Donald","Democrat","https://dondavis.house.gov/","202-225-3101","North Carolina","37","3701",301648,166316.939956183,81091.5435045052,47407261.875,55.1360990148062,48.757236349989
"38","NE","01","Flood","Mike","Republican","","202-225-4806","Nebraska","31","3101",257850,86732.2154803269,31403.3209391667,16611498.2814,33.6366940005146,36.2072163904193
"39","NH","01","Pappas","Chris","Democrat","https://pappas.house.gov","202-225-5456","New Hampshire","33","3301",275024,85236.0830479543,18360.2631397834,9571038.3597,30.9922345133349,21.5404820156433
"40","NJ","01","Norcross","Donald","Democrat","https://norcross.house.gov","202-225-6501","New Jersey","34","3401",292985,117961.261105675,36608.7139648394,18448506.2194,40.2618772652783,31.0345223692069
"41","NM","01","Stansbury","Melanie","Democrat","https://stansbury.house.gov","202-225-6316","New Mexico","35","3501",299545,138054.676673738,48591.9627479501,28595885.3125,46.0881258821672,35.1976216371044
"42","NV","01","Titus","Dina","Democrat","https://titus.house.gov","202-225-5965","Nevada","32","3201",284182,145972.740349378,90109.8076673867,49057033.375,51.3659346297015,61.7305720586689
"43","NY","01","LaLota","Nicolas","Republican","https://lalota.house.gov/","202-225-3826","New York","36","3601",272698,70156.239072348,14206.2096199248,5987190.4458,25.7267156606752,20.2493888038593
"44","OH","01","Landsman","Greg","Democrat","https://landsman.house.gov/","202-225-2216","Ohio","39","3901",323479,130718.988532583,75838.0617794862,43838999.625,40.4103476678805,58.0161020451767
"45","OK","01","Hern","Kevin","Republican","https://hern.house.gov","202-225-2211","Oklahoma","40","4001",309338,126095.585062319,87510.0552353167,92176349.625,40.7630440043961,69.3997773134306
"46","OR","01","Bonamici","Suzanne","Democrat","https://bonamici.house.gov","202-225-0855","Oregon","41","4101",291827,102303.234100679,30513.2431721466,14868820.5628,35.0561236968065,29.8262742525986
"47","PA","01","Fitzpatrick","Brian","Republican","https://fitzpatrick.house.gov","202-225-4276","Pennsylvania","42","4201",290717,79946.4667292595,18390.5190054068,8692912.8598,27.4997563710617,23.0035419422433
"48","RI","01","Cicilline","David","Democrat","https://cicilline.house.gov","202-225-4911","Rhode Island","44","4401",215411,100101.541064098,45948.3169007529,23045297.6563,46.470022916238,45.9017078181954
"49","SC","01","Mace","Nancy","Republican","https://mace.house.gov","202-225-3176","South Carolina","45","4501",288212,84051.8779245773,22523.4472544465,13135508.9066,29.1632124701877,26.7970779601826
"50","TN","01","Harshbarger","Diana","Republican","https://harshbarger.house.gov","202-225-6356","Tennessee","47","4701",312758,166392.488399248,64874.5297694045,37881090.1255,53.2016729865417,38.9888572456121
"51","TX","01","Moran","Nathaniel","Republican","https://moran.house.gov/","202-225-3035","Texas","48","4801",279372,143031.290657092,35598.5089911558,19187358.7198,51.1974323329081,24.8886162095124
"52","UT","01","Moore","Blake","Republican","https://blakemoore.house.gov","202-225-0453","Utah","49","4901",273657,94211.664061732,19224.7692730332,9889079.5474,34.4269154678053,20.4059332403218
"53","VA","01","Wittman","Robert","Republican","https://wittman.house.gov","202-225-4261","Virginia","51","5101",300864,89816.5420155039,27528.5496059472,12820795.2347,29.8528710698202,30.6497544752895
"54","WA","01","DelBene","Suzan","Democrat","https://delbene.house.gov","202-225-6311","Washington","53","5301",292869,78745.9009571672,12819.225302444,7864854.7504,26.8877556030742,16.2792286920647
"55","WI","01","Steil","Bryan","Republican","https://steil.house.gov","202-225-3031","Wisconsin","55","5501",297249,103897.912334372,59346.8914859352,32864141.6255,34.9531579027589,57.1203888052541
"56","WV","01","Miller","Carol","Republican","https://miller.house.gov","202-225-3452","West Virginia","54","5401",357812,195096.083515423,71894.7880627143,40889319.625,54.5247458205489,36.8509642875691
"57","AL","02","Moore","Barry","Republican","https://barrymoore.house.gov","202-225-2901","Alabama","01","0102",274258,128950.019567435,74730.2990598638,40599582,47.0177787220192,57.9529179681769
"58","AR","02","Hill","J.","Republican","https://hill.house.gov","202-225-2506","Arkansas","05","0502",305802,145160.09494096,44819.2412972471,25274023.375,47.4686545349474,30.8757315951579
"59","AZ","02","Crane","Eli","Republican","https://crane.house.gov/","202-225-3361","Arizona","04","0402",299547,160845.568794416,41724.144888304,67259798,53.6962709672994,25.9405000716143
"60","CA","02","Huffman","Jared","Democrat","https://huffman.house.gov","202-225-5161","California","06","0602",297718,117627.886918628,27834.4065804501,13265367.9378,39.5098337751254,23.663101760644
"61","CO","02","Neguse","Joe","Democrat","https://neguse.house.gov","202-225-2161","Colorado","08","0802",290763,104585.093906884,16919.9118056405,8643246.6882,35.9691893077468,16.1781293811382
"62","CT","02","Courtney","Joe","Democrat","https://courtney.house.gov","202-225-2076","Connecticut","09","0902",285998,98660.1601907032,31855.4954411856,17419320.9376,34.4968007436077,32.2881043164851
"63","FL","02","Dunn","Neal","Republican","https://dunn.house.gov","202-225-5235","Florida","12","1202",302164,154917.883956088,52475.7357273231,29385296.0625,51.269470868829,33.8732587789525
"64","GA","02","Bishop","Sanford","Democrat","https://bishop.house.gov","202-225-3631","Georgia","13","1302",285268,162487.077431858,95729.1543987219,59057878.875,56.9594477585493,58.9149339822839
"65","HI","02","Tokuda","Jill","Democrat","https://tokuda.house.gov/","202-225-4906","Hawaii","15","1502",234197,108709.079318449,33253.8497165155,16517739.9699,46.4177932759382,30.5897629940392
"66","IA","02","Hinson","Ashley","Republican","https://hinson.house.gov","202-225-2911","Iowa","19","1902",327250,128423.963812004,30334.8147023098,15882811.7817,39.2433808440043,23.6208366428527
"67","ID","02","Simpson","Michael","Republican","https://simpson.house.gov","202-225-5531","Idaho","16","1602",334650,143533.843096865,25169.0651745768,12046099.1567,42.8907345276752,17.5352827120996
"68","IL","02","Kelly","Robin","Democrat","https://robinkelly.house.gov","202-225-0773","Illinois","17","1702",293157,156948.547342138,81239.0102519369,41546531.6255,53.5373698537431,51.7615560179994
"69","IN","02","Yakym","Rudy","Republican","","202-225-3915","Indiana","18","1802",282545,141415.078558075,37942.263334078,19685946.1569,50.05046224781,26.8304226967538
"70","KS","02","LaTurner","Jacob","Republican","https://laturner.house.gov","202-225-6601","Kansas","20","2002",285337,128000.812433377,42972.9965394377,21862229.1251,44.859521349624,33.5724404575985
"71","KY","02","Guthrie","Brett","Republican","https://guthrie.house.gov","202-225-3501","Kentucky","21","2102",288615,129674.483219743,65251.2247549459,35172616.3125,44.929918133064,50.3192479621245
"72","LA","02","Carter","Troy","Democrat","https://troycarter.house.gov","202-225-6636","Louisiana","22","2202",297804,185855.16273301,128842.734361006,75418409.25,62.4085515080422,69.324269751976
"73","MA","02","McGovern","James","Democrat","https://mcgovern.house.gov","202-225-6101","Massachusetts","25","2502",296032,121388.807953986,51958.5099232359,28952350.75,41.0052994115454,42.803377674597
"74","MD","02","Ruppersberger","C.","Democrat","https://ruppersberger.house.gov","202-225-3061","Maryland","24","2402",297938,85959.5814741328,34762.3439753836,15653999.3128,28.851499800003,40.4403364688838
"75","ME","02","Golden","Jared","Democrat","https://golden.house.gov","202-225-6306","Maine","23","2302",290657,142450.939168223,61805.3892813626,31568288.938,49.0099805503473,43.3871406129345
"76","MI","02","Moolenaar","John","Republican","https://moolenaar.house.gov","202-225-3561","Michigan","26","2602",294011,129059.21863166,72392.1890007474,33786376.5005,43.8960510428724,56.0922263192664
"77","MN","02","Craig","Angie","Democrat","https://craig.house.gov","202-225-2271","Minnesota","27","2702",266052,74644.8455296919,19976.8799918536,9863622.8442,28.0564872768075,26.762571280166
"78","MO","02","Wagner","Ann","Republican","https://wagner.house.gov","202-225-1621","Missouri","29","2902",306166,70882.1121424551,27220.4233820334,12842939.641,23.151529608923,38.4023875125606
"79","MS","02","Thompson","Bennie","Democrat","https://benniethompson.house.gov","202-225-5876","Mississippi","28","2802",277475,180029.482690225,86287.1593437873,55814255.875,64.881334423002,47.9294602497197
"80","MT","02","Rosendale","Matthew","Republican","https://rosendale.house.gov","202-225-3211","Montana","30","3002",220536,91159.616295981,28340.4509956808,15479505.8753,41.3354809627367,31.0888221640423
"81","NC","02","Ross","Deborah","Democrat","https://ross.house.gov","202-225-3032","North Carolina","37","3702",290946,73019.0925819469,33282.6281037801,17884568.4689,25.097128876818,45.5807199554392
"82","NE","02","Bacon","Don","Republican","https://bacon.house.gov","202-225-4155","Nebraska","31","3102",256308,85380.411148201,37043.5494202236,18723102.2507,33.3116450318371,43.3864734569202
"83","NH","02","Kuster","Ann","Democrat","https://kuster.house.gov","202-225-5206","New Hampshire","33","3302",270092,90822.9169520457,20459.1136044026,10584239.094,33.6266594168082,22.5263780232967
"84","NJ","02","Van Drew","Jefferson","Republican","https://vandrew.house.gov","202-225-6572","New Jersey","34","3402",299190,111142.623294544,36599.342183868,18738186.8762,37.1478402669019,32.9300686801989
"85","NM","02","Vasquez","Gabriel (Gabe)","Democrat","https://vasquez.house.gov/","202-225-2365","New Mexico","35","3502",251291,162359.305190742,70403.6505006531,45222538.625,64.6100756456625,43.362867571983
"86","NV","02","Amodei","Mark","Republican","https://amodei.house.gov","202-225-6155","Nevada","32","3202",305375,99776.4953862657,52772.0930372804,28152212.3755,32.6734327912454,52.8903053098661
"87","NY","02","Garbarino","Andrew","Republican","https://garbarino.house.gov","202-225-7896","New York","36","3602",247052,70867.4780566207,28527.0683625677,12402203.3284,28.6852476630914,40.2541040613518
"88","OH","02","Wenstrup","Brad","Republican","https://wenstrup.house.gov","202-225-3164","Ohio","39","3902",304076,141522.732090583,79117.6712903296,43536223.813,46.5418948192502,55.9045675006396
"89","OK","02","Brecheen","Josh","Republican","https://brecheen.house.gov/","202-225-2701","Oklahoma","40","4002",302082,169824.898942263,77463.8151866127,81026270,56.218145716151,45.6139327443079
"90","OR","02","Bentz","Cliff","Republican","https://bentz.house.gov","202-225-6730","Oregon","41","4102",277579,152900.318517927,60543.3749175963,28636328.625,55.0835324422694,39.5966309975331
"91","PA","02","Boyle","Brendan","Democrat","https://boyle.house.gov","202-225-6111","Pennsylvania","42","4202",294983,167329.69570807,89275.6937971719,48592371.375,56.7251996583091,53.3531680789797
"92","RI","02","Magaziner","Seth","Democrat","https://magaziner.house.gov/","202-225-2735","Rhode Island","44","4402",216808,80278.4589359025,37440.6830992471,17424640.782,37.0274431459644,46.6385174747079
"93","SC","02","Wilson","Joe","Republican","https://joewilson.house.gov","202-225-2452","South Carolina","45","4502",290555,110672.028478139,53748.1744288634,28809827.1875,38.0898723058074,48.5652745033768
"94","TN","02","Burchett","Tim","Republican","https://burchett.house.gov","202-225-5435","Tennessee","47","4702",310737,132404.361054599,41471.4116972752,22726122.5005,42.609782888616,31.3217868104615
"95","TX","02","Crenshaw","Dan","Republican","https://crenshaw.house.gov","202-225-6565","Texas","48","4802",262246,68767.4525282458,19394.2766081794,11031936.4691,26.2224981613622,28.2026974900856
"96","UT","02","Stewart","Chris","Republican","https://stewart.house.gov","202-225-9730","Utah","49","4902",278282,108723.847021528,26043.9460608257,12671040.1879,39.0696656706246,23.954216829422
"97","VA","02","Kiggans","Jennifer","Republican","https://kiggans.house.gov/","202-225-4215","Virginia","51","5102",302163,88712.8246362098,47426.5018514086,22961861.8751,29.3592612716348,53.4607054232501
"98","WA","02","Larsen","Rick","Democrat","https://larsen.house.gov","202-225-2605","Washington","53","5302",307902,125042.914177201,31792.9211889982,15325575.3127,40.6112705267262,25.4256079988218
"99","WI","02","Pocan","Mark","Democrat","https://pocan.house.gov","202-225-2906","Wisconsin","55","5502",313325,97782.8390186605,39151.6275390996,19969688.1569,31.2081190516749,40.0393647106401
"100","WV","02","Mooney","Alexander","Republican","https://mooney.house.gov","202-225-2711","West Virginia","54","5402",358228,159698.916484577,53323.6299496002,28111613.1255,44.5802440023051,33.3901012752017
"101","AL","03","Rogers","Mike","Republican","https://mikerogers.house.gov","202-225-3261","Alabama","01","0103",275196,139465.652195871,61549.869975079,34671224.0625,50.6786625517344,44.1326369654343
"102","AR","03","Womack","Steve","Republican","https://womack.house.gov","202-225-4301","Arkansas","05","0503",286519,133584.102372441,51352.6289511389,25227935.313,46.6231218077826,38.4421709163899
"103","AZ","03","Gallego","Ruben","Democrat","https://rubengallego.house.gov","202-225-4065","Arizona","04","0403",258344,153512.035176101,91515.0209322653,52778244.125,59.4215600811711,59.6142320875912
"104","CA","03","Kiley","Kevin","Republican","https://kiley.house.gov/","202-225-2523","California","06","0603",293754,100717.455881361,19460.5627357139,10055986.1566,34.2863266138881,19.3219363668571
"105","CO","03","Boebert","Lauren","Republican","https://boebert.house.gov","202-225-4761","Colorado","08","0803",292950,156404.814829773,51224.2167050272,28684806.1255,53.3895937292279,32.7510484640632
