"","geoid","state","totalHH","HHqualify","HHqualify_perc","HH_8feb24","HHEoE_perc","hh_PUMSeligible","HH_eligiblePUMS","HHEoE_PUMSperc","adj_factor"
"1","01","Alabama",1933150,590062,30.5233427307762,413668,70.1058532832143,890226,46.0505392752761,46.4677508857301,1.50869908585877
"2","02","Alaska",264376,71481,27.0376282264653,24784,34.6721506414292,100365,37.9629769721911,24.6938673840482,1.4040794057162
"3","04","Arizona",2739136,613371,22.3928640271969,522188,85.1341194807058,1156641,42.2264903969719,45.1469384190946,1.88571191008378
"4","05","Arkansas",1171694,369240,31.5133473415414,215017,58.2323150254577,598309,51.0635882747543,35.9374503809904,1.62037969884086
"5","06","California",13315822,2935426,22.0446473375808,2945281,100.335726398826,5911554,44.3949611221898,49.8224493931714,2.01386578983766
"6","08","Colorado",2278044,408543,17.9339380626538,251506,61.5616960760556,821999,36.0835436014405,30.5968742054431,2.01202566192543
"7","09","Connecticut",1409807,276870,19.6388583685568,186531,67.3713295048218,539704,38.2821194674165,34.5617227220847,1.94930472785062
"8","10","Delaware",389000,79687,20.4850899742931,52446,65.8150011921643,150424,38.6694087403599,34.8654470031378,1.88768556979181
"9","11","District of Columbia",315785,64268,20.3518216508067,63806,99.2811352461567,112066,35.4880694143167,56.9360912319526,1.74372938320782
"10","12","Florida",8353441,2078265,24.8791486047486,1707857,82.1770563426705,3630300,43.4587375430077,47.0445142274743,1.74679359946879
"11","13","Georgia",3946490,1112462,28.1886435794846,722473,64.9436115570689,1673106,42.3947862531009,43.1815437874229,1.50396687707086
"12","15","Hawaii",483906,108928,22.5101569313048,60721,55.7441612808461,187912,38.8323352055978,32.3135297373239,1.72510282021152
"13","16","Idaho",675323,175739,26.0229549415613,53962,30.7057625228322,278011,41.1671155876521,19.4100233444,1.58195392030227
"14","17","Illinois",4968761,1118982,22.5203425964743,704532,62.961870700333,1951514,39.2756665092163,36.1018163333699,1.74400839334324
"15","18","Indiana",2653596,656317,24.7331168723498,425968,64.9027832586997,1087658,40.9880780646338,39.1637812621247,1.65721442534629
"16","19","Iowa",1290139,297198,23.0361224643236,124054,41.7411961049536,504039,39.0685809823593,24.6119843900968,1.69597036319222
"17","20","Kansas",1148635,270176,23.5214841964593,133746,49.5032867464172,439146,38.2319884036269,30.4559303739531,1.62540714201113
"18","21","Kentucky",1769102,526452,29.7581484843723,455685,86.5577488545964,845888,47.8145409365882,53.8706069834304,1.60677136757007
"19","22","Louisiana",1765264,575673,32.6111561783393,558780,97.0655215721425,912837,51.7110755105185,61.2135572944567,1.5856866658676
"20","23","Maine",580172,144053,24.8293609481326,98639,68.4741032814311,236044,40.685176120185,41.7883953839115,1.63859135179413
"21","24","Maryland",2318124,449566,19.3935268346301,287722,63.99994661518,815027,35.1589043554184,35.3021433645756,1.8129195713199
"22","25","Massachusetts",2740995,536184,19.5616555301998,367884,68.6115214180207,1085394,39.5985399462604,33.8940513767351,2.02429389910926
"23","26","Michigan",4009253,996068,24.8442290870643,941244,94.4959581072778,1687496,42.0900352260134,55.7775544356846,1.69415742700298
"24","27","Minnesota",2256126,420754,18.6494016734881,244916,58.2088346159514,782264,34.6728861774564,31.3086119264085,1.85919563450377
"25","28","Mississippi",1121269,388711,34.667060268321,244280,62.8436036026765,587702,52.4140059165107,41.5652830856454,1.51192531212134
"26","29","Missouri",2458324,637787,25.9439764652666,395504,62.0119256115286,994253,40.4443433819139,39.7790099702993,1.55891073352075
"27","30","Montana",443917,112764,25.4020458779456,54539,48.3656131389451,187562,42.2515920768973,29.0778515904074,1.66331453300699
"28","31","Nebraska",776379,175849,22.649891354609,96140,54.6719060102702,282320,36.363683201117,34.053556248229,1.60546832794045
"29","32","Nevada",1163671,311353,26.7561020254007,276024,88.6530722363362,504838,43.3832242962143,54.6757573716717,1.62143290734311
"30","33","New Hampshire",545116,94319,17.3025557862914,38859,41.1995462208039,176059,32.2975293332061,22.0715782777364,1.86663344607131
"31","34","New Jersey",3438162,720555,20.957563954229,337969,46.90398373476,1207472,35.1196947671459,27.9898001775611,1.67575271839069
"32","35","New Mexico",812852,254087,31.2587039215011,184131,72.4676980719203,422198,51.9403286207083,43.6124756630775,1.66162771019375
"33","36","New York",7604523,1782565,23.4408522401734,1792187,100.539783962997,3336394,43.873810362596,53.7162877046296,1.87168153755964
"34","37","North Carolina",4105232,1068070,26.0172872081286,901394,84.3946557809881,1732869,42.2112319108883,52.01743467048,1.62243017779734
"35","38","North Dakota",320038,72213,22.5638830388891,17742,24.5689834240372,111438,34.8202400964885,15.9209605341087,1.54318474512899
"36","39","Ohio",4789408,1231838,25.7200472375709,1157054,93.929071842239,1992583,41.6039518871643,58.0680453461663,1.61756903099271
"37","40","Oklahoma",1522711,425153,27.9207938998273,351879,82.7652633287311,700884,46.0286948738139,50.2050267947335,1.64854534720442
"38","41","Oregon",1680800,363113,21.6035816277963,238974,65.8125707424411,729558,43.4054021894336,32.7559974669594,2.00917620685572
"39","42","Pennsylvania",5193727,1234433,23.7677683097321,763742,61.8698625198776,2094498,40.3274565644286,36.4642028782076,1.69672878155396
"40","44","Rhode Island",432219,96946,22.4298330244621,83516,86.1469271553236,180380,41.7334730773057,46.3000332631112,1.86062343985311
"41","45","South Carolina",2023085,554952,27.4309779371603,415680,74.9037754616616,879078,43.4523512358601,47.2859063700832,1.58406132422264
"42","46","South Dakota",351182,82021,23.3556959069656,24194,29.4973238560856,126167,35.9263857487001,19.1761712650693,1.5382280147767
"43","47","Tennessee",2713635,724522,26.6993165993216,429621,59.2971641992928,1182480,43.5754992841705,36.332200121778,1.63208294572145
"44","48","Texas",10490553,2838035,27.0532449528638,1718552,60.5542919660963,4335446,41.3271445270807,39.6395664944276,1.52762245708739
"45","49","Utah",1062819,203460,19.1434289375707,75088,36.9055342573479,354247,33.3308870089827,21.1965097798993,1.74111373242898
"46","50","Vermont",265858,60244,22.6602171083812,25923,43.0300112874311,115003,43.257302770652,22.5411511004061,1.90895358873913
"47","51","Virginia",3289776,635325,19.3121051402892,470457,74.0498170227836,1118372,33.995384488184,42.0662355638374,1.76031479951206
"48","53","Washington",2979272,521330,17.4985701204858,358024,68.6751194061343,1130334,37.9399396899645,31.6741777209214,2.16817370955057
"49","54","West Virginia",716040,236148,32.9797218032512,128571,54.445093754764,354795,49.5496061672532,36.2381093307403,1.50242644443315
"50","55","Wisconsin",2425488,533801,22.007983548053,426733,79.9423380623116,889679,36.6804123541325,47.9648277637215,1.66668664914453
"51","56","Wyoming",234156,53883,23.0115820222416,21736,40.3392535679157,83471,35.6476024530655,26.0401816199638,1.54911567655847
"52","72","Puerto Rico",1219658,841877,69.0256612919359,664623,78.9453803821698,NA,NA,NA,NA
