"","zipcode","zcta","state","totalHH","enrollments","eligible_adj","eligible_adj_perc","HHEoE_adj","total_support"
"1","00601","00601","PR",5397,4503,5010,92.8293496386882,89.8802395209581,1907159.22
"2","00602","00602","PR",12858,7775,10090,78.4725462746928,77.0564915758176,3319235.83
"3","00603","00603","PR",19295,10229,14018,72.6509458408914,72.9704665430161,4640812.29
"4","00606","00606","PR",1968,1358,1642,83.4349593495935,82.7040194884287,650685.01
"5","00610","00610","PR",8934,4666,6954,77.8374748153123,67.0980730514812,1968275.83
"6","00612","00612","PR",23319,16171,17859,76.5856168789399,90.5481829889691,6860591.87
"7","00616","00616","PR",3342,585,2611,78.1268701376421,22.4052087322865,287928.93
"8","00617","00617","PR",7820,5062,5800,74.1687979539642,87.2758620689655,2211601.96
"9","00622","00622","PR",2789,428,2160,77.4471136608103,19.8148148148148,193555.41
"10","00623","00623","PR",13933,7404,10853,77.8942079954066,68.2207684511195,3549325.59
"11","00624","00624","PR",7194,4877,5734,79.7053099805393,85.0540634809906,2298526.28
"12","00627","00627","PR",11367,6412,8857,77.9185361133105,72.3947160438072,2738817.08
"13","00631","00631","PR",396,180,327,82.5757575757576,55.045871559633,73832.29
"14","00637","00637","PR",7005,4418,5947,84.8965024982156,74.2895577602152,1947239.32
"15","00638","00638","PR",6032,4043,5031,83.4051724137931,80.3617571059432,1899994.98
"16","00641","00641","PR",8724,6801,7419,85.041265474553,91.6700363930449,3090007.84
"17","00646","00646","PR",11863,5005,7175,60.4821714574728,69.7560975609756,2252746.28
"18","00647","00647","PR",1927,710,1761,91.3855734302024,40.3180011357183,359231.16
"19","00650","00650","PR",5157,2975,4175,80.9579212720574,71.2574850299401,1294504.2
"20","00652","00652","PR",1250,272,823,65.84,33.0498177399757,120430.95
"21","00653","00653","PR",3591,2526,3051,84.9624060150376,82.7925270403147,1165678.84
"22","00656","00656","PR",6513,3364,5286,81.1607554122524,63.6398032538782,1530504.86
"23","00659","00659","PR",13214,7567,9594,72.6048130770395,78.8722117990411,3218378.02
"24","00660","00660","PR",6220,2670,4443,71.4308681672026,60.0945307224848,1204137.1
"25","00662","00662","PR",13974,8403,11197,80.1273794189209,75.0468875591676,3616480.78
"26","00664","00664","PR",5120,4053,4458,87.0703125,90.9152086137281,1851765.46
"27","00667","00667","PR",7849,4761,6438,82.0231876672187,73.9515377446412,2150437.8
"28","00669","00669","PR",9745,6960,8154,83.673678809646,85.3568800588668,3106267.53
"29","00670","00670","PR",2639,2224,2353,89.1625615763547,94.5176370590735,1007419.37
"30","00674","00674","PR",14437,8498,11127,77.072799057976,76.372786914712,3922732.25
"31","00676","00676","PR",13032,8078,10267,78.7829957028852,78.6792636602708,3818908.85
"32","00677","00677","PR",5763,2704,4010,69.5818150268957,67.431421446384,1143450.37
"33","00678","00678","PR",8985,5142,7328,81.5581524763495,70.1692139737991,2084884.86
"34","00680","00680","PR",17636,11594,13777,78.1186210024949,84.1547506714089,5156565.61
"35","00682","00682","PR",11916,3334,9368,78.6169855656261,35.5892399658412,1391401.42
"36","00683","00683","PR",10721,5795,8961,83.5836209308833,64.6691217498047,2598842.86
"37","00685","00685","PR",14152,9505,11304,79.8756359525156,84.085279547063,4088325.52
"38","00687","00687","PR",9654,6365,7465,77.3254609488295,85.264567983925,2963408.27
"39","00688","00688","PR",4066,879,3314,81.5051647811117,26.5238382619191,372182.9
"40","00690","00690","PR",2187,811,1667,76.2231367169639,48.6502699460108,382029.19
"41","00692","00692","PR",11537,6020,8076,70.0008667764584,74.5418524021793,2816723.89
"42","00693","00693","PR",20194,10294,14656,72.5760126770328,70.2374454148472,4768895.79
"43","00698","00698","PR",11647,7593,9434,80.9993989868636,80.4854780580878,3311692.05
"44","00703","00703","PR",9057,4945,6671,73.6557358948879,74.1268175685804,2495576.52
"45","00704","00704","PR",2543,812,2095,82.3830121903264,38.7589498806683,405767.42
"46","00705","00705","PR",8683,5170,6678,76.9089024530692,77.4183887391435,2199650.43
"47","00707","00707","PR",3845,2392,2998,77.9713914174252,79.7865243495664,1155473.41
"48","00714","00714","PR",6147,3878,5030,81.8285342443468,77.0974155069583,2065142.21
"49","00715","00715","PR",801,447,705,88.0149812734082,63.4042553191489,202584.49
"50","00716","00716","PR",11125,4849,8007,71.9730337078652,60.5595104283752,2178604.59
"51","00717","00717","PR",6398,2871,4824,75.3985620506408,59.5149253731343,1263487.15
"52","00718","00718","PR",8105,4874,6736,83.1091918568785,72.3574821852732,2343046.04
"53","00719","00719","PR",8456,5833,7152,84.5789971617786,81.5576062639821,2651292.3
"54","00720","00720","PR",6495,4788,5558,85.5735180908391,86.1460957178841,2164707.06
"55","00723","00723","PR",5882,3559,4841,82.301938116287,73.5178682090477,1707835.79
"56","00725","00725","PR",29994,18371,20701,69.0171367606855,88.7445050963722,8421003.66
"57","00727","00727","PR",19267,3436,11443,59.3917060258473,30.0270907978677,1502590.1
"58","00728","00728","PR",13021,6488,9627,73.9344136395054,67.3937883037291,2879144.97
"59","00729","00729","PR",16529,8318,11219,67.8746445640995,74.1420803993226,3877375.93
"60","00730","00730","PR",12806,6390,9858,76.9795408402311,64.8204503956178,2932875
"61","00731","00731","PR",3933,3775,3072,78.1083142639207,101,1711639.41
"62","00735","00735","PR",4129,2447,3115,75.4419956405909,78.5553772070626,1132741.17
"63","00736","00736","PR",17400,7860,12242,70.3563218390805,64.2051952295377,3647485.79
"64","00738","00738","PR",11564,6573,8648,74.7838118298167,76.0060129509713,2858132.12
"65","00739","00739","PR",11792,7193,8579,72.7527137042062,83.8442708940436,3464762.26
"66","00740","00740","PR",643,279,591,91.9129082426128,47.2081218274112,140885.29
"67","00741","00741","PR",1394,602,1029,73.8163558106169,58.5034013605442,269097.43
"68","00745","00745","PR",15803,8886,11239,71.1194077073973,79.0639736631373,4234905.97
"69","00751","00751","PR",7538,4951,6005,79.6630405943221,82.4479600333056,2531375.52
"70","00754","00754","PR",13248,7223,10389,78.419384057971,69.5254596207527,3378870.32
"71","00757","00757","PR",7203,3255,5506,76.4403720671942,59.1173265528514,1473465.87
"72","00765","00765","PR",2374,1296,2197,92.5442291491154,58.9895311788803,478527.86
"73","00766","00766","PR",7873,5237,6068,77.0735424869808,86.3052076466711,2320039.19
"74","00767","00767","PR",12011,7188,9803,81.6168512197153,73.3244925022952,3488301.31
"75","00769","00769","PR",12975,7528,10193,78.5587668593449,73.854606102227,3583615.86
"76","00771","00771","PR",11857,6671,8636,72.8346124652104,77.2464103751737,3259298.34
"77","00772","00772","PR",6580,4290,5481,83.2978723404255,78.2703886152162,1984503
"78","00773","00773","PR",6803,3564,5378,79.0533588122887,66.2699888434362,1639186.42
"79","00775","00775","PR",489,340,376,76.8916155419223,90.4255319148936,125221.14
"80","00777","00777","PR",13352,7513,9609,71.9667465548232,78.1871162451868,3553569.85
"81","00778","00778","PR",14448,6122,7862,54.4158361018826,77.8682269142712,2764761.06
"82","00780","00780","PR",4443,1944,3049,68.6248030609948,63.7586093801246,902284.66
"83","00782","00782","PR",5130,3924,4529,88.2846003898635,86.6416427467432,1716040.24
"84","00783","00783","PR",10531,6733,8399,79.7550090209857,80.1643052744374,3129346.54
"85","00784","00784","PR",13947,7087,10276,73.6789273678927,68.966523939276,3506647.05
"86","00786","00786","PR",81,49,63,77.7777777777778,77.7777777777778,16369.38
"87","00791","00791","PR",16356,9764,12439,76.0516018586451,78.4950558726586,4547931.49
"88","00794","00794","PR",8731,6144,7306,83.6788454930707,84.0952641664385,2880551.37
"89","00795","00795","PR",14486,8245,10924,75.410741405495,75.4760161113145,4036572.26
"90","00901","00901","PR",3133,816,1681,53.6546441110756,48.5425342058299,354107.32
"91","00906","00906","PR",91,7,36,39.5604395604396,19.4444444444444,4774.87
"92","00907","00907","PR",8334,1360,3437,41.2407007439405,39.5693919115508,603564.04
"93","00909","00909","PR",2239,847,1499,66.9495310406431,56.5043362241494,387148.22
"94","00911","00911","PR",3656,526,1619,44.2833698030635,32.4891908585547,232143.61
"95","00912","00912","PR",2691,691,1604,59.6060943887031,43.0798004987531,305016.22
"96","00913","00913","PR",3040,1577,2604,85.6578947368421,60.5606758832565,767341.83
"97","00915","00915","PR",10602,4438,8871,83.6728919071873,50.0281817157029,2183894.7
"98","00917","00917","PR",8100,2856,5960,73.5802469135803,47.9194630872483,1293826.11
"99","00918","00918","PR",7633,1673,4045,52.9935805056989,41.3597033374536,717043.98
"100","00920","00920","PR",6911,2010,4236,61.2935899290985,47.4504249291785,818960.42
"101","00921","00921","PR",13552,4901,9206,67.93093270366,53.2370193352162,2138845.35
"102","00923","00923","PR",10278,4051,7787,75.7637672698969,52.0226017721844,1850862.95
"103","00924","00924","PR",19048,7881,13006,68.2801343973121,60.5951099492542,3581262.4
"104","00925","00925","PR",2964,1063,2297,77.4966261808367,46.2777535916413,459536.15
"105","00926","00926","PR",35788,9188,19430,54.2919414328825,47.2876994338652,4107692.27
"106","00927","00927","PR",5936,1168,2873,48.3995956873315,40.6543682561782,522917.28
"107","00934","00934","PR",27,5,17,62.962962962963,29.4117647058824,1259.99
"108","00936","00936","PR",NA,53,NA,NA,NA,28257.18
"109","00949","00949","PR",25663,8823,16188,63.0791411760122,54.5033358042995,4007050.1
"110","00952","00952","PR",2842,1375,2343,82.441942294159,58.6854460093897,630561.59
"111","00953","00953","PR",21990,8261,14061,63.9427012278308,58.751155678828,3896749.15
"112","00956","00956","PR",23846,10404,16363,68.6194749643546,63.5824726517142,4737151.42
"113","00957","00957","PR",14799,6195,9866,66.6666666666667,62.7914048246503,2814832.14
"114","00959","00959","PR",17329,5852,10799,62.3175024525362,54.1902027965552,2578459.12
"115","00960","00960","PR",17.8723404255319,347,0,0,101,257668.41
"116","00961","00961","PR",11292,3553,6297,55.7651434643996,56.4236938224551,1559138.09
"117","00962","00962","PR",7567,4018,6031,79.7013347429629,66.6224506715304,1751098.29
"118","00965","00965","PR",1888,1226,1609,85.2224576271186,76.1963952765693,549607.3
"119","00966","00966","PR",5976,758,2583,43.2228915662651,29.3457220286489,333225.5
"120","00968","00968","PR",1775,182,670,37.7464788732394,27.1641791044776,72872.63
"121","00969","00969","PR",14577,2830,5969,40.948068875626,47.4116267381471,1245515.86
"122","00971","00971","PR",9104,2794,6011,66.0259226713533,46.4814506737648,1353332.35
"123","00976","00976","PR",22179,6903,12660,57.0810225889355,54.5260663507109,3264699.05
"124","00979","00979","PR",8548,1188,4389,51.3453439401029,27.0676691729323,537589.45
