"","zipcode","total_support"
"1","00601",1642518.32
"2","00602",2858374.2
"3","00603",4022700.23
"4","00604",16633.68
"5","00605",71071.75
"6","00606",567478.77
"7","00610",1695279.72
"8","00611",52146.38
"9","00612",5859164.64
"10","00613",50798.77
"11","00614",25910.12
"12","00616",252651.91
"13","00617",1905604.33
"14","00622",168706.6
"15","00623",3117268.95
"16","00624",1995154.9
"17","00627",2335449.79
"18","00631",61199.58
"19","00636",19472.24
"20","00637",1688300.2
"21","00638",1660592.37
"22","00641",2677173.15
"23","00646",1951141.55
"24","00647",319216.23
"25","00650",1112729.14
"26","00652",103423.14
"27","00653",1019186.63
"28","00656",1322894.34
"29","00659",2747816.75
"30","00660",1048655.58
"31","00662",3110521.16
"32","00664",1593240.86
"33","00667",1871675.73
"34","00669",2682155.56
"35","00670",872121.18
"36","00674",3410095.1
"37","00676",3340704.38
"38","00677",984661.28
"39","00678",1767725.26
"40","00680",4470502.24
"41","00681",55112.1
"42","00682",1198077.07
"43","00683",2260517.64
"44","00685",3475433.6
"45","00687",2582840.54
"46","00688",319796.34
"47","00690",330883.01
"48","00692",2454085.5
"49","00693",4149213.33
"50","00694",101482.55
"51","00698",2860901.15
"52","00703",2199014.74
"53","00704",360168.02
"54","00705",1886823.48
"55","00707",1016078.01
"56","00714",1840302.7
"57","00715",176084.25
"58","00716",1893564.14
"59","00717",1097868.67
"60","00718",2038813.82
"61","00719",2301305.46
"62","00720",1875298.24
"63","00721",81491.37
"64","00723",1498926.66
"65","00725",7307547.05
"66","00726",124366.04
"67","00727",1298997.57
"68","00728",2491223.33
"69","00729",3373247.15
"70","00730",2549502.47
"71","00731",1486903.12
"72","00732",45693.5
"73","00733",35108.1
"74","00734",3695.38
"75","00735",981808.36
"76","00736",3173829.49
"77","00737",99687.37
"78","00738",2446722.6
"79","00739",3020119.65
"80","00740",123760.38
"81","00741",231624.76
"82","00742",1191.47
"83","00744",37217.23
"84","00745",3688117.18
"85","00751",2245102.54
"86","00754",2950473.25
"87","00757",1281353.1
"88","00765",395807.08
"89","00766",2016499.88
"90","00767",3047774.95
"91","00769",3135786.49
"92","00771",2851539.34
"93","00772",1726097.08
"94","00773",1425274.27
"95","00775",103527.49
"96","00777",3093658.06
"97","00778",2395066.25
"98","00780",788676.09
"99","00782",1479546.44
"100","00783",2721773.53
"101","00784",3096731.17
"102","00785",48300.59
"103","00786",13729.61
"104","00791",3951354.01
"105","00792",40973.95
"106","00794",2509920.47
"107","00795",3552935.45
"108","00801",2709.8
"109","00802",380995.09
"110","00803",2534.17
"111","00804",629.9
"112","00805",240
"113","00820",219365.91
"114","00821",2860
"115","00822",1640
"116","00823",11709.99
"117","00824",960
"118","00830",6840
"119","00831",1599.9
"120","00840",225193.56
"121","00841",11165.68
"122","00850",28691.94
"123","00851",21963.9
"124","00901",304459.67
"125","00902",16050.22
"126","00906",4324.89
"127","00907",522494.92
"128","00908",9087.04
"129","00909",336970.13
"130","00910",13518.09
"131","00911",200152.33
"132","00912",264129.34
"133","00913",671313.71
"134","00914",4825.5
"135","00915",1921025.49
"136","00916",28541.27
"137","00917",1120432.96
"138","00918",610929.44
"139","00919",17721.12
"140","00920",695357.22
"141","00921",1850990.16
"142","00922",11887.57
"143","00923",1603110.53
"144","00924",3105661.74
"145","00925",395343.34
"146","00926",3538805.98
"147","00927",451944.75
"148","00928",81198.79
"149","00929",25665.53
"150","00930",2821.4
"151","00931",3613.74
"152","00933",1354.74
"153","00934",989.99
"154","00935",950
"155","00936",24489.26
"156","00937",2127.72
"157","00939",1681.49
